Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. People With Hope/Short-Term Program","1306 Spring Garden Street, 8th Floor & 2nd Floor",Philadelphia,215-413-8268,42,101,51,51,"Philadelphia, Pennsylvania 19123
(39.9644541, -75.145782)"
DDAP-Licensed Treatment Facility,Diakon Family Life Services,241 Broad Street,Lycoming,570-404-4222,42,081,41,41,"Montoursville, Pennsylvania 17754
(41.250329, -76.929114)"
DDAP-Licensed Treatment Facility,NHS Parkside Recovery,235 - 263 East Lehigh Avenue,Philadelphia,267-761-2849,42,101,51,51,"Philadelphia, Pennsylvania 19125
(39.991359, -75.127883)"
DDAP-Licensed Treatment Facility,"ARS of Lancaster, LP",2192 Embassy Drive,Lancaster,717-394-7160,42,071,36,36,"Lancaster, Pennsylvania 17603
(40.0450013, -76.3617573)"
DDAP-Licensed Treatment Facility,Greenbriar Treatment Center At New Kensington,"701 Fourth Avenue, 2nd Floor",Westmoreland,724-339-7180,42,129,65,65,"New Kensington, Pennsylvania 15068
(40.5697892, -79.7647705)"
PacMAT,"Penn State University College of Medicine, Naaman Center",4600 E Harrisburg Pike,Dauphin,717-367-9115,42,043,22,22,"Elizabethtown, Pennsylvania 17022
(40.174866, -76.656023)"
DDAP-Licensed Treatment Facility,Gaudenzia West Shore,4740 Delbrook Road,Cumberland,717-766-8517,42,041,21,21,"Mechanicsburg, Pennsylvania 17050
(40.22899, -76.9644)"
DDAP-Licensed Treatment Facility,Lehigh Valley Wellness and Recovery Center,"217 Franklin Avenue, Suite 106",Carbon,610-826-2320,42,025,13,13,"Palmerton, Pennsylvania 18071
(40.802253, -75.612922)"
DDAP-Licensed Treatment Facility,"Treatment Trends, Inc. - Half-Way Home of the Lehigh Valley",24 South Fifth Street,Lehigh,610-439-0218,42,077,39,39,"Allentown, Pennsylvania 18101
(40.6038156, -75.4745076)"
DDAP-Licensed Treatment Facility,"Rehab Management, Inc./Rehab After Work","1420 Walnut Street, Suite 500",Philadelphia,215-546-2200,42,101,51,51,"Philadelphia, Pennsylvania 19102
(39.9492133, -75.1654152)"
Center of Excellence,Mount Pocono Medical,1151 Pocono Boulevard,Monroe,570-839-7246 x310,42,089,45,45,"Mount Pocono, Pennsylvania 18344
(41.135977, -75.364491)"
DDAP-Licensed Treatment Facility,Kensington Hospital Outpatient Treatment Program,2100 North Front Street,Philadelphia,215-426-8100,42,101,51,51,"Philadelphia, Pennsylvania 19122
(39.981628, -75.134628)"
DDAP-Licensed Treatment Facility,Open Arms Recovery Center,300 Frederick Street Suite 3,York,717-969-2894,42,133,67,67,"Hanover, Pennsylvania 17331
(39.800632, -76.981951)"
DDAP-Licensed Treatment Facility,Pennsylvania Psychiatric Institute,2501 North Third Street,Dauphin,717-562-3773,42,043,22,22,"Harrisburg, Pennsylvania 17110
(40.286504, -76.898104)"
Center of Excellence,"Maternal Addiction Treatment, Education, and Research (MATER)",1233 Locust Street,Philadelphia,215-503-1744,42,101,51,51,"Philadelphia, Pennsylvania 19107
(39.948249, -75.161923)"
Center of Excellence,Family Service Association of Bucks County,4 Cornerstone Drive,Bucks,215-757-6919 x104,42,017,9,09,"Langhorne, Pennsylvania 19047
(40.189043, -74.884942)"
DDAP-Licensed Treatment Facility,Northwestern Human Services of Montgomery County,400 North Broad Street,Montgomery,215-368-2022,42,091,46,46,"Lansdale, Pennsylvania 19446
(40.24414, -75.28171)"
DDAP-Licensed Treatment Facility,Parkside Recovery,5000 Parkside Avenue,Philadelphia,215-879-6116,42,101,51,51,"Philadelphia, Pennsylvania 19131
(39.9798235, -75.2197126)"
DDAP-Licensed Treatment Facility,"Wormack, Inc.",201 East Fairview Avenue,Fayette,724-570-3556,42,051,26,26,"Connellsville, Pennsylvania 15425
(40.017287, -79.586606)"
DDAP-Licensed Treatment Facility,Addiction Recovery Services,"355 Fifth Avenue, Suite 1419",Allegheny,412-855-4677,42,003,2,02,"Pittsburgh, Pennsylvania 15222
(40.4404409, -79.9986958)"
DDAP-Licensed Treatment Facility,Rehab After Work,"2500 York Road, Suite 145",Bucks,610-644-6464,42,017,9,09,"Jamison, Pennsylvania 18929
(40.262543, -75.08618)"
PacMAT,"UPMC Insurance Division, Safe Harbor Behavioral Health of UPMC Hamot",1330 W. 26th Street,Erie,814-459-9300,42,049,25,25,"Erie, Pennsylvania 16508
(42.1019838, -80.102604)"
DDAP-Licensed Treatment Facility,Pennsylvania Organization For Women In Early Recovery (POWER),"3501 Forbes Avenue, Oxford Building, 9th Floor",Allegheny,412-246-5910,42,003,2,02,"Pittsburgh, Pennsylvania 15213
(40.4379259, -79.9556424)"
DDAP-Licensed Treatment Facility,"Alcohol And Drug Abuse Services, Inc.","225 South Street, Suite 1",Elk,814-788-2080,42,047,24,24,"Ridgway, Pennsylvania 15853
(41.420339, -78.728639)"
DDAP-Licensed Treatment Facility,"Good Friends, Inc.","Po Box 165, 868 West Bridge Street",Bucks,215-736-2861,42,017,9,09,"Morrisville, Pennsylvania 19067
(40.2011703, -74.7880726)"
DDAP-Licensed Treatment Facility,Central Behavioral Health,1201 Dekalb Street,Montgomery,610-279-9270,42,091,46,46,"Norristown, Pennsylvania 19401
(40.121982, -75.336271)"
DDAP-Licensed Treatment Facility,PA Treatment & Healing,1917 East Pleasant Valley Blvd,Blair,570-387-1051,42,013,7,07,"Altoona, Pennsylvania 16602
(40.530808, -78.36206)"
DDAP-Licensed Treatment Facility,"Cps Counseling Services, Inc.",8 North Main Street,York,717-467-5909,42,133,67,67,"Dover, Pennsylvania 17315
(40.001349, -76.851152)"
DDAP-Licensed Treatment Facility,Malvern Institute,"1566 Medical Drive, Suite 201",Montgomery,610-647-0330,42,091,46,46,"Pottstown, Pennsylvania 19464
(40.238747, -75.61413)"
DDAP-Licensed Treatment Facility,Schuylkill Health System Counseling Center - North,10 East Spruce Street,Schuylkill,570-874-7030,42,107,54,54,"Frackville, Pennsylvania 17931
(40.778324, -76.22689)"
DDAP-Licensed Treatment Facility,The Care Center D\B\A SPHS Care Center,35 South West Street,Greene,724-627-6108,42,059,30,30,"Waynesburg, Pennsylvania 15370
(39.89614, -80.191505)"
DDAP-Licensed Treatment Facility,Renaissance Crossroads of Pennsylvania Counseling Services,"1700 South Lincoln Avenue, VA Medical Center, Building 183-B",Lebanon,717-274-8303,42,075,38,38,"Lebanon, Pennsylvania 17042
(40.31241, -76.40705)"
DDAP-Licensed Treatment Facility,Strive Health,101 North Main Street,Westmoreland,724-302-0804,42,129,65,65,"Greensburg, Pennsylvania 15601
(40.303758, -79.544404)"
Center of Excellence,New Directions Treatment Services,20-22 North 6th Avenue,Berks,610-478-0646 ext. 35,42,011,6,06,"West Reading, Pennsylvania 19611
(40.336623, -75.949808)"
DDAP-Licensed Treatment Facility,Child Guidance Resource Centers,2000 Old West Chester Pike,Delaware,484-454-8700,42,045,23,23,"Havertown, Pennsylvania 19083
(39.9757657, -75.333782)"
DDAP-Licensed Treatment Facility,Nuestra Clinica Rehabilitacion,50 East New Street,Lancaster,717-399-4283,42,071,36,36,"Lancaster, Pennsylvania 17602
(40.036022, -76.428174)"
DDAP-Licensed Treatment Facility,"Rehab Management, Inc.",1440 Russell Road,Chester,610-889-9939,42,029,15,15,"Paoli, Pennsylvania 19301
(40.043335, -75.471085)"
DDAP-Licensed Treatment Facility,Truenorth Wellness Services,1195 Roosevelt Avenue,York,717-843-0800,42,133,67,67,"York, Pennsylvania 17404
(39.975724, -76.752824)"
DDAP-Licensed Treatment Facility,"Discovery House, Inc.","2710 West State Street, Route 224",Lawrence,724-598-7999,42,073,37,37,"New Castle, Pennsylvania 16101
(41.0036719, -80.347009)"
DDAP-Licensed Treatment Facility,Reading Hospital,401 Buttonwood Street,Berks,484-628-8186,42,011,6,06,"West Reading, Pennsylvania 19611
(40.3413721, -75.9116757)"
DDAP-Licensed Treatment Facility,PA Treatment and Healing,335 North Fourth Street,Carbon,610-377-8870,42,025,13,13,"Lehighton, Pennsylvania 18235
(40.83743, -75.71423)"
DDAP-Licensed Treatment Facility,"M G Therapeutic Services, LLC",100 West 6Th Street  Suite 305,Delaware,610-314-7478,42,045,23,23,"Media, Pennsylvania 19063
(39.923936, -75.390115)"
DDAP-Licensed Treatment Facility,UPMC Mercy,1400 Locust Street,Allegheny,412-232-5565,42,003,2,02,"Pittsburgh, Pennsylvania 15219
(40.4361368, -79.9852854)"
DDAP-Licensed Treatment Facility,White Deer Run of Williamsport,"520 West Fourth Street, Suite 3D",Lycoming,570-322-4836,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.2399965, -77.0111069)"
DDAP-Licensed Treatment Facility,"Southwest Nu-Stop Philadelphia, Inc.",5616 Woodland Avenue,Philadelphia,215-729-2014,42,101,51,51,"Philadelphia, Pennsylvania 19143
(39.93424, -75.222)"
DDAP-Licensed Treatment Facility,Summit IOP Limited,702 Hyde Park,Bucks,866- 745-2140,42,017,9,09,"Doylestown, Pennsylvania 18902
(40.319142, -75.095615)"
DDAP-Licensed Treatment Facility,Huntington Creek Recovery Center,890 Bethel Hill Road,Luzerne,570-864-3116,42,079,40,40,"Shickshinny, Pennsylvania 18655
(41.246509, -76.234045)"
DDAP-Licensed Treatment Facility,Congreso De Latinos Unidos,216 West Somerset Street,Philadelphia,215-763-8870,42,101,51,51,"Philadelphia, Pennsylvania 19133
(39.9929394, -75.1355357)"
DDAP-Licensed Treatment Facility,GPHA Dental And Behavioral Health Center,5501 Woodland Avenue,Philadelphia,215-925-2400,42,101,51,51,"Philadelphia, Pennsylvania 19143
(39.935453, -75.220785)"
DDAP-Licensed Treatment Facility,"Retreat at Lancaster County PA, LLC",1170 South State Street,Lancaster,717-859-8000,42,071,36,36,"Ephrata, Pennsylvania 17522
(40.16506, -76.200516)"
DDAP-Licensed Treatment Facility,Addiction Help Center,11603 Sr 61,Northumberland,570-509-4277,42,097,49,49,"Mt Carmel, Pennsylvania 17851
(40.800639, -76.419652)"
DDAP-Licensed Treatment Facility,"A Better Today, Inc. Satellite Hazleton",8 West Broad Street,Luzerne,570-455-9222,42,079,40,40,"Hazleton, Pennsylvania 18201
(40.9540844, -75.9743718)"
DDAP-Licensed Treatment Facility,Lehigh Valley Drug and Alcohol Intake Unit,548 North New Street,Northampton,610-866-4088,42,095,48,48,"Bethlehem, Pennsylvania 18018
(40.622257, -75.37702)"
DDAP-Licensed Treatment Facility,"Freedom Healthcare Services, LLC",773 Pershing Street,Lawrence,412-221-1091,42,073,37,37,"Ellwood City, Pennsylvania 16117
(40.871631, -80.27427)"
Center of Excellence,"Community Health & Dental Care, Inc.",800 Heritage Drive,Montgomery,610-326-9460 ext. 107 ,42,091,46,46,"Pottstown, Pennsylvania 19464
(40.246174, -75.60156)"
DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. Broad Street",3025 North Broad Street,Philadelphia,215-223-9460,42,101,51,51,"Philadelphia, Pennsylvania 19132
(39.999242, -75.152995)"
PacMAT,"Geisinger Clinic, OB/GYN MAT Program, Wilkes Barre",25 Church Street ,Luzerne ,570-808-8921,42,079,40,40,"Wilkes Barre, Pennsylvania 18765
(41.237166, -75.908171)"
DDAP-Licensed Treatment Facility,Cove Forge Renewal Center,624 Broad Street,Cambria,814-539-0836,42,021,11,11,"Johnstown, Pennsylvania 15906
(40.3405083, -78.9305271)"
DDAP-Licensed Treatment Facility,"Minsec Treatment, LLC",3768 L Street,Philadelphia,215-744-9601,42,101,51,51,"Philadelphia, Pennsylvania 19124
(40.0149445, -75.0903154)"
DDAP-Licensed Treatment Facility,"Adaptive Behavioral Services, Inc.","100 Superior Avenue, Suite 307",Beaver,724-378-1230,42,007,4,04,"Aliquippa, Pennsylvania 15001
(40.618934, -80.246626)"
DDAP-Licensed Treatment Facility,RHD - Womanspace,120 Ardmore Avenue,Montgomery,610-649-8136,42,091,46,46,"Ardmore, Pennsylvania 19003
(40.00717, -75.297278)"
DDAP-Licensed Treatment Facility,"Allied Addiction Recovery, LLC",766 East Pittsburgh Street Suite 101,Westmoreland,412-246-8965,42,129,65,65,"Greensburg, Pennsylvania 15601
(40.3023188, -79.5264865)"
DDAP-Licensed Treatment Facility,"Another Way, Inc.",708 Nelson Road,Fayette,724-329-7900,42,051,26,26,"Farmington, Pennsylvania 15437
(39.8191606, -79.57589)"
DDAP-Licensed Treatment Facility,"Psychological Services Clinic, Inc.",352 Arch Street,Northumberland,570-286-5081,42,097,49,49,"Sunbury, Pennsylvania 17801
(40.862843, -76.79116)"
DDAP-Licensed Treatment Facility,MCP/Caring Together,"4700 Wissahickon Avenue, Building C Suite 102",Philadelphia,215-967-2130,42,101,51,51,"Philadelphia, Pennsylvania 19144
(40.0161021, -75.173072)"
DDAP-Licensed Treatment Facility,Pyramid Healthcare Lehigh Valley,124 Bridge Street,Lehigh,484-240-4107,42,077,39,39,"Catasauqua, Pennsylvania 18032
(40.654153, -75.474103)"
DDAP-Licensed Treatment Facility,Project Transition,6201 North Front Street Suite 106,Philadelphia,215-548-5493,42,101,51,51,"Philadelphia, Pennsylvania 19120
(40.0450807, -75.1176125)"
Center of Excellence,The Steven Klein Wellness Center (Pathways to Housing PA),5201 Old York Road,Philadelphia,"215-320-6187, ext 5756",42,101,51,51,"Philadelphia, Pennsylvania 19141
(40.033224, -75.144642)"
DDAP-Licensed Treatment Facility,"Blueprints For Addiction Recovery, Inc.",222 South Market Street  Suite 202,Lancaster,717-361-1660,42,071,36,36,"Elizabethtown, Pennsylvania 17022
(40.14841, -76.604425)"
DDAP-Licensed Treatment Facility,"Liberation Way, LLC",70-90 West Afton Avenue,Bucks,877-636-9322,42,017,9,09,"Yardley, Pennsylvania 19067
(40.242124, -74.842561)"
DDAP-Licensed Treatment Facility,"Northeast Treatment Centers, Inc.",499 North Fifth Street,Philadelphia,215-451-7100,42,101,51,51,"Philadelphia, Pennsylvania 19123
(39.9608111, -75.1463653)"
PacMAT,"UPMC Insurance Division, Gaudenzia Erie Outpatient",141 W. 11th ,Erie,814-459-6304,42,049,25,25,"Erie, Pennsylvania 16501
(42.1232569, -80.084615)"
DDAP-Licensed Treatment Facility,"Allied Addiction Recovery, LLC","787 Pine Valley Drive, Suite B",Allegheny,412-246-8965,42,003,2,02,"Pittsburgh, Pennsylvania 15239
(40.456136, -79.712298)"
DDAP-Licensed Treatment Facility,"Treatment Access and Services Center of Berks County, Inc.","19 North Sixth Street, Suite 300",Berks,610-375-4426,42,011,6,06,"Reading, Pennsylvania 19601
(40.336201, -75.9258593)"
DDAP-Licensed Treatment Facility,Community Counseling Center of Mercer County,2201 East State Street,Mercer,724-981-7141,42,085,43,43,"Hermitage, Pennsylvania 16148
(41.2333784, -80.4690315)"
DDAP-Licensed Treatment Facility,Holy Family Institute,8235 Ohio River Boulevard,Allegheny,412-766-9020,42,003,2,02,"Pittsburgh, Pennsylvania 15202
(40.5113127, -80.1005812)"
DDAP-Licensed Treatment Facility,Gaudenzia - New Destiny,91 Broad Street,Schuylkill,570-875-2287,42,107,54,54,"Ashland, Pennsylvania 17921
(40.7715089, -76.330262)"
DDAP-Licensed Treatment Facility,"Gaudenzia Erie, Inc. Crossroads",414 West Fifth Street,Erie,814-459-4775,42,049,25,25,"Erie, Pennsylvania 16507
(42.127395, -80.095445)"
Center of Excellence,Neighborhood Health Centers of the Lehigh Valley,333 West Union Street,Lehigh ,610-515-4067,42,077,39,39,"Allentown, Pennsylvania 18102
(40.602736, -75.462075)"
DDAP-Licensed Treatment Facility,"Humble Beginnings Pa, LLC","2300 Computer Avenue, Building D-21",Montgomery,609-458-3028,42,091,46,46,"Willow Grove, Pennsylvania 19090
(40.160032, -75.136842)"
DDAP-Licensed Treatment Facility,Discovery House,3438 Route 764,Blair,814-944-7000,42,013,7,07,"Duncansville, Pennsylvania 16635
(40.4616904, -78.426631)"
DDAP-Licensed Treatment Facility,"The Program For Offenders, Inc.",225 West Seventh Avenue,Allegheny,412-535-4310,42,003,2,02,"West Homestead, Pennsylvania 15120
(40.404846, -79.915283)"
DDAP-Licensed Treatment Facility,"Teen Challenge Training Center, Inc.",33 Teen Challenge Road PO Box 98,Berks,717-933-4181,42,011,6,06,"Rehrersburg, Pennsylvania 19550
(40.4495527, -76.2471185)"
DDAP-Licensed Treatment Facility,Providence Living Treatment Center,"1223 North Providence Road, First Floor",Delaware,484-445-4145,42,045,23,23,"Media, Pennsylvania 19063
(39.934015, -75.389703)"
DDAP-Licensed Treatment Facility,CeJa Counseling and Consulting Service,35 North Third Street,Chester,610-888-5001,42,029,15,15,"Oxford, Pennsylvania 19363
(39.786266, -75.978279)"
DDAP-Licensed Treatment Facility,"Pinnacle Treatment Centers PA-V, LLC",400 Woodlawn Road,Beaver,724-857-9640,42,007,4,04,"Aliquippa, Pennsylvania 15001
(40.593365, -80.24036)"
DDAP-Licensed Treatment Facility,"Gaudenzia Inc., Outpatient West Chester","110 Westtown Road, Suite 115",Chester,610-429-1414,42,029,15,15,"West Chester, Pennsylvania 19382
(39.963742, -75.5915889)"
DDAP-Licensed Treatment Facility,"A Better Today, Inc.","245 Muncy Street, Sullivan County Courthouse",Sullivan,570-344-1444,42,113,57,57,"Laporte, Pennsylvania 18626
(41.423708, -76.493837)"
Center of Excellence,Gateway Rehabilitation Center,311 Rouser Road,Allegheny,724-683-9524,42,003,2,02,"Moon Township, Pennsylvania 15108
(40.501964, -80.21403)"
DDAP-Licensed Treatment Facility,Community Guidance Center,100 Caldwell Drive,Clearfield,814-371-1100,42,033,17,17,"Dubois, Pennsylvania 15801
(41.113977, -78.778825)"
DDAP-Licensed Treatment Facility,Building & Embracing Sobriety Together,25 Broad Street,Northampton,570-422-6522,42,095,48,48,"Nazareth, Pennsylvania 18064
(40.741858, -75.309051)"
DDAP-Licensed Treatment Facility,"Esper Treatment Center, Inc.",25 West 18 Street,Erie,814-459-0817,42,049,25,25,"Erie, Pennsylvania 16501
(42.1188322, -80.0939978)"
DDAP-Licensed Treatment Facility,Family Service And Children's Aid Society,716 East Second Street,Venango,814-677-4005,42,121,61,61,"Oil City, Pennsylvania 16301
(41.425967, -79.703396)"
DDAP-Licensed Treatment Facility,Summit Academy,839 Herman Road,Butler,724-282-1995,42,019,10,10,"Herman, Pennsylvania 16039
(40.830593, -79.8144563)"
DDAP-Licensed Treatment Facility,Jeanette Egan,"860 Broad Street, Suite 106",Lehigh,610-965-3635,42,077,39,39,"Emmaus, Pennsylvania 18049
(40.5278728, -75.5017024)"
DDAP-Licensed Treatment Facility,"Migliore Treatment Services, LLC",60 South 41St Street Building #62,Dauphin,717-963-7679,42,043,22,22,"Harrisburg, Pennsylvania 17111
(40.256752, -76.812944)"
DDAP-Licensed Treatment Facility,"The Children's Service Center of Wyoming Valley, Inc.",335 South Franklin Street,Luzerne,570-825-6425,42,079,40,40,"Wilkes Barre, Pennsylvania 18702
(41.241585, -75.8927)"
DDAP-Licensed Treatment Facility,"A & O Recovery Services, Inc.","166 West Lehigh Avenue, Suite 101",Philadelphia,267-388-8597,42,101,51,51,"Philadelphia, Pennsylvania 19133
(40.1145029, -75.0085399)"
DDAP-Licensed Treatment Facility,The Wedge Medical Center PC,3609 North Broad Street,Philadelphia,215-223-1100,42,101,51,51,"Philadelphia, Pennsylvania 19141
(40.007973, -75.151088)"
DDAP-Licensed Treatment Facility,Mary E. Steratore Addiction Treatment Center,1023 Pittsburgh Street,Fayette,724-437-7819,42,051,26,26,"Uniontown, Pennsylvania 15401
(39.9311269, -79.729605)"
PacMAT,"UPMC Insurance Division, West Branch Drug and Alcohol Abuse Commission",213 W. 4th Street,Lycoming,570-323-8543,42,081,41,41,"Williamsport, Pennsylvania 17701
(41.240619, -77.005357)"
DDAP-Licensed Treatment Facility,Gaudenzia Focus House,701 North 63 Street,Philadelphia,215-477-0063,42,101,51,51,"Philadelphia, Pennsylvania 19151
(39.9739303, -75.2449146)"
DDAP-Licensed Treatment Facility,Choices of Northeastern Pennsylvania,518 Wyoming Avenue,Luzerne,570-552-3700,42,079,40,40,"Kingston, Pennsylvania 18704
(41.268257, -75.89009)"
DDAP-Licensed Treatment Facility,Pyramid Healthcare Inc. - Hawley Outpatient,"2515 Route 6, Suite B",Pike,570-390-7261,42,103,52,52,"Hawley, Pennsylvania 18428
(41.45069, -75.17841)"
DDAP-Licensed Treatment Facility,Trehab,36 Public Avenue,Susquehanna,570-278-3338,42,115,58,58,"Montrose, Pennsylvania 18801
(41.833253, -75.877973)"
DDAP-Licensed Treatment Facility,"Pocono Mountain Recovery Center, LLC",3437 Route 715,Monroe,570-629-3270,42,089,45,45,"Henryville, Pennsylvania 18332
(41.07959, -75.27132)"
DDAP-Licensed Treatment Facility,Al-Assist Behavioral Health Care Center,"1401 South 4th Street, Second Floor",Philadelphia,215-339-1070,42,101,51,51,"Philadelphia, Pennsylvania 19147
(39.9350642, -75.1516194)"
DDAP-Licensed Treatment Facility,"Northeast Treatment Centers, Inc.",2701 North Broad Street,Philadelphia,800-860-0703,42,101,51,51,"Philadelphia, Pennsylvania 19133
(39.9941896, -75.1539069)"
DDAP-Licensed Treatment Facility,White Deer Run of York,106 Davies Drive,York,717-840-2308,42,133,67,67,"York, Pennsylvania 17402
(39.9889862, -76.6536696)"
DDAP-Licensed Treatment Facility,Daystar Center For Spiritual Recovery,125 North 18 Street,Dauphin,717-230-9898,42,043,22,22,"Harrisburg, Pennsylvania 17103
(40.2765548, -76.8692134)"
DDAP-Licensed Treatment Facility,Roxbury,25 Penncraft Avenue Suite 312,Franklin,717-532-4217,42,055,28,28,"Chambersburg, Pennsylvania 17201
(39.9369062, -77.6552451)"
DDAP-Licensed Treatment Facility,"Self Help Movement, Inc.",2600 Southampton Road,Philadelphia,215-677-7778,42,101,51,51,"Philadelphia, Pennsylvania 19116
(40.115712, -74.9904288)"
DDAP-Licensed Treatment Facility,"Rehab Management, Inc.",1107 East Main Street,Montgomery,215-361-7120,42,091,46,46,"Lansdale, Pennsylvania 19446
(40.2498, -75.29758)"
DDAP-Licensed Treatment Facility,Medmark Treatment Centers Blairsville Pa,1984 Us 22,Indiana,724-834-1144,42,063,32,32,"Blairsville, Pennsylvania 15717
(40.449372, -79.182857)"
DDAP-Licensed Treatment Facility,Newvitae,555 Harrison Street,Lehigh,610-965-6418,42,077,39,39,"Emmaus, Pennsylvania 18049
(40.538156, -75.499196)"
DDAP-Licensed Treatment Facility,"Cen-Clear, Inc.",275A West Main Street,Jefferson,814-938-6340,42,065,33,33,"Brookville, Pennsylvania 15825
(41.162745, -79.096905)"
DDAP-Licensed Treatment Facility,"Outside in School of Experiential Education, Inc.",150 West Beau Street Suite 114,Washington,724- 837-1518,42,125,63,63,"Washington, Pennsylvania 15301
(40.1698307, -80.2488161)"
DDAP-Licensed Treatment Facility,Family Service Association Of Bucks County,200 Apple Street Suite 1,Bucks,215-538-1616,42,017,9,09,"Quakertown, Pennsylvania 18951
(40.440104, -75.33584)"
DDAP-Licensed Treatment Facility,Gateway Rehabilitation Squirrel Hill,"5816-5818 Forbes Avenue, Suite 200",Allegheny,412-697-0928,42,003,2,02,"Pittsburgh, Pennsylvania 15217
(40.437784, -79.9221655)"
DDAP-Licensed Treatment Facility,"Gaudenzia Erie, Inc.",2203 Centre Avenue,Allegheny,412-709-6918,42,003,2,02,"Pittsburgh, Pennsylvania 15219
(40.445395, -79.975762)"
PacMAT,"UPMC Insurance Division, Discovery House of Blair County Comprehensive Treatment Center",3428 PA-764,Blair,814-791-1672,42,013,7,07,"Duncansville, Pennsylvania 16635
(40.4610332, -78.42633)"
DDAP-Licensed Treatment Facility,"Cen-Clear Child Services, Inc.",122 53 Boulevard,Clearfield,814-938-6340,42,033,17,17,"Coalport, Pennsylvania 16627
(40.7478401, -78.5344673)"
DDAP-Licensed Treatment Facility,"Jade Wellness, LLC",4105 Monroeville Boulevard,Allegheny,412-380-0100,42,003,2,02,"Monroeville, Pennsylvania 15146
(40.435277, -79.7679921)"
DDAP-Licensed Treatment Facility,SPHS Behavioral Health,408 Eighth Street,Westmoreland,724-339-6860,42,129,65,65,"New Kensington, Pennsylvania 15068
(40.563824, -79.76582)"
DDAP-Licensed Treatment Facility,Bucks County Counseling,"127 South 5th Street, Suite 110",Bucks,215-529-9998,42,017,9,09,"Quakertown, Pennsylvania 18951
(40.4393795, -75.3404237)"
DDAP-Licensed Treatment Facility,Rhd / New Start II,5000 Jackson Street,Philadelphia,215-537-8236,42,101,51,51,"Philadelphia, Pennsylvania 19124
(40.0153, -75.074265)"
DDAP-Licensed Treatment Facility,"Pinnacle Treatment Center PA-VI, LLC D/B/A Greenfield Counse",11127 Perry Highway,Crawford,814-337-7431,42,039,20,20,"Meadville, Pennsylvania 16335
(41.620626, -80.202669)"
DDAP-Licensed Treatment Facility,"Renewal Treatment, Inc.",704 2nd Avenue,Allegheny,412-690-2445,42,003,2,02,"Pittsburgh, Pennsylvania 15219
(40.436264, -79.996315)"
DDAP-Licensed Treatment Facility,"Rainbow Recovery Center, Inc.",112 Timber Village,Mercer,724-269-5130,42,085,43,43,"Mercer, Pennsylvania 16137
(41.226334, -80.25744)"
DDAP-Licensed Treatment Facility,"Livengrin Foundation, Inc.",4833 Hulmeville Road,Bucks,215-638-5200,42,017,9,09,"Bensalem, Pennsylvania 19020
(40.1190537, -74.9271192)"
DDAP-Licensed Treatment Facility,"Horizon House, Inc.","2137 North 33 Street, Susquehanna Park",Philadelphia,215-765-6774,42,101,51,51,"Philadelphia, Pennsylvania 19121
(39.989987, -75.186333)"
DDAP-Licensed Treatment Facility,"Colonial Park Intensive Outpatient Program, LLC",55 South Progress Ave,Dauphin,717-991-4755,42,043,22,22,"Harrisburg, Pennsylvania 17109
(40.283976, -76.841116)"
DDAP-Licensed Treatment Facility,Brooktree Health Services,6500 Brooktree Road,Allegheny,609-847-9718,42,003,2,02,"Wexford, Pennsylvania 15090
(40.614362, -80.060386)"
DDAP-Licensed Treatment Facility,Just Believe Recovery Center Of Carbondale LLC,100 Lincoln Avenue,Lackawanna,570-284-5100,42,069,35,35,"Carbondale, Pennsylvania 18407
(41.572348, -75.496756)"
PacMAT,"UPMC Insurance Division, Cove Forge Behavioral Health",202 Cove Forge Road,Blair,814-554-0149,42,013,7,07,"Williamsburg, Pennsylvania 16693
(40.483759, -78.173314)"
DDAP-Licensed Treatment Facility,"New Directions Healthcare, LLC",306 West 11th Street Second Floor,Erie,814-240-6216,42,049,25,25,"Erie, Pennsylvania 16501
(42.122124, -80.08839)"
DDAP-Licensed Treatment Facility,Philadelphia Fight,1229 Locust Street,Philadelphia,215-985-4448,42,101,51,51,"Philadelphia, Pennsylvania 19107
(39.9478578, -75.1617314)"
DDAP-Licensed Treatment Facility,"Habit OPCO, Inc. - Pottstown",301 Circle Of Progress Drive,Montgomery,610-970-5410,42,091,46,46,"Pottstown, Pennsylvania 19464
(40.262567, -75.667138)"
DDAP-Licensed Treatment Facility,PA Treatment and Healing,149 Sawmill Court,Monroe,570-517-7153,42,089,45,45,"East Stroudsburg, Pennsylvania 18301
(41.036175, -75.13349)"
DDAP-Licensed Treatment Facility,"Charleroi Treatment Services, LLC",15 Arentzen Blvd,Washington,724-565-1210,42,125,63,63,"Charleroi, Pennsylvania 15022
(40.125005, -79.885036)"
DDAP-Licensed Treatment Facility,"Alcohol And Drug Abuse Services, Inc.",139 Minard Run Road,McKean,814-642-9541,42,083,42,42,"Bradford, Pennsylvania 16701
(41.8145276, -78.2815119)"
DDAP-Licensed Treatment Facility,"Live Well Services, Inc.",203 Floral Vale Boulevard,Bucks,215-968-7600,42,017,9,09,"Yardley, Pennsylvania 19067
(40.245664, -74.8459972)"
