,Type of Facility,Name of Facility,Street address,County,Phone number,State FIPS code,County FIPS code,County Number,County Code,Location 1,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries
444,DDAP-Licensed Treatment Facility,"Family Guidance Center, Inc.","1235 Penn Avenue, Suite 205-206",Berks,610-374-4963,42,011,6,06,"{'latitude': '40.329537', 'longitude': '-75.9652117', 'human_address': '{""address"": """", ""city"": ""Wyomissing"", ""state"": ""Pennsylvania"", ""zip"": ""19610""}'}",1341,494,118,31,45
445,DDAP-Licensed Treatment Facility,"ARS of Pennsylvania, LLC",3433 Trindle Road,Cumberland,717-761-4500,42,041,21,21,"{'latitude': '40.236737', 'longitude': '-76.938941', 'human_address': '{""address"": """", ""city"": ""Camp Hill"", ""state"": ""Pennsylvania"", ""zip"": ""17011""}'}",1676,93,38,20,17
446,DDAP-Licensed Treatment Facility,"Silvermist, LLC",130 Critchlow School Road,Butler,724-481-1284,42,019,10,10,"{'latitude': '40.774249', 'longitude': '-79.988405', 'human_address': '{""address"": """", ""city"": ""Renfrew"", ""state"": ""Pennsylvania"", ""zip"": ""16053""}'}",1261,426,9,5,1
447,DDAP-Licensed Treatment Facility,"Wyoming Valley Alcohol and Drug Services, Inc.","49 South Main Street, 4th Floor",Luzerne,570-655-3900,42,079,40,40,"{'latitude': '41.321224', 'longitude': '-75.79147', 'human_address': '{""address"": """", ""city"": ""Pittston"", ""state"": ""Pennsylvania"", ""zip"": ""18640""}'}",26,323,102,30,14
448,DDAP-Licensed Treatment Facility,St. John Vianney Center,151 Woodbine Road,Chester,610-269-2600,42,029,15,15,"{'latitude': '40.012638', 'longitude': '-75.685745', 'human_address': '{""address"": """", ""city"": ""Downingtown"", ""state"": ""Pennsylvania"", ""zip"": ""19335""}'}",803,69,96,32,6
449,DDAP-Licensed Treatment Facility,Gateway Allegheny Valley,"1360 Old Freeport Road, 3rd Floor",Allegheny,412-963-7077,42,003,2,02,"{'latitude': '40.5230452', 'longitude': '-79.8632834', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15238""}'}",377,172,84,9,40
450,DDAP-Licensed Treatment Facility,Roxbury Treatment Center,601 Roxbury Road,Franklin,717-532-4217,42,055,28,28,"{'latitude': '40.053352', 'longitude': '-77.5363', 'human_address': '{""address"": """", ""city"": ""Shippensburg"", ""state"": ""Pennsylvania"", ""zip"": ""17257""}'}",1582,376,34,19,33
451,DDAP-Licensed Treatment Facility,"Recovery Revolution, Inc.",109 Broadway,Northampton,610-599-7700,42,095,48,48,"{'latitude': '40.86584', 'longitude': '-75.206566', 'human_address': '{""address"": """", ""city"": ""Bangor"", ""state"": ""Pennsylvania"", ""zip"": ""18013""}'}",1847,118,113,38,59
452,DDAP-Licensed Treatment Facility,The National Academy,900 Agnew Road,Allegheny,412-885-5200,42,003,2,02,"{'latitude': '40.3999755', 'longitude': '-79.966443', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15227""}'}",2158,117,93,11,40
453,Center of Excellence,Highlands Hospital,401 East Murphy Avenue,Fayette,724-880-6002,42,051,26,26,"{'latitude': '40.023231', 'longitude': '-79.586029', 'human_address': '{""address"": """", ""city"": ""Connellsville"", ""state"": ""Pennsylvania"", ""zip"": ""15601""}'}",529,77,8,1,31
454,DDAP-Licensed Treatment Facility,Alliance Medical Services,739 Ensign Avenue,Allegheny,412-488-6360,42,003,2,02,"{'latitude': '40.406289', 'longitude': '-80.004853', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15226""}'}",2158,324,103,6,40
455,DDAP-Licensed Treatment Facility,"Just Believe Recovery of Carbondale, LLC",141 Salem Avenue,Lackawanna,561-315-7633,42,069,35,35,"{'latitude': '41.57118', 'longitude': '-75.496353', 'human_address': '{""address"": """", ""city"": ""Carbondale"", ""state"": ""Pennsylvania"", ""zip"": ""18407""}'}",1908,145,100,34,22
456,PacMAT,"UPMC Insurance Division, Esper",25 West 18th Street,Erie,814-459-0817,42,049,25,25,"{'latitude': '42.1178596', 'longitude': '-80.078682', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16501""}'}",2182,61,51,4,30
457,DDAP-Licensed Treatment Facility,Pennsylvania Organization For Women In Early Recovery (POWER),7501 Penn Avenue,Allegheny,412-243-8753,42,003,2,02,"{'latitude': '40.4479452', 'longitude': '-79.8959545', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15208""}'}",2158,324,104,11,40
458,DDAP-Licensed Treatment Facility,George Junior Republic,233 George Junior Road,Mercer,724-458-9330,42,085,43,43,"{'latitude': '41.1759652', 'longitude': '-80.1093761', 'human_address': '{""address"": """", ""city"": ""Grove City"", ""state"": ""Pennsylvania"", ""zip"": ""16127""}'}",485,166,12,3,54
459,DDAP-Licensed Treatment Facility,Naaman Center,4600 East Harrisburg Pike,Dauphin,717-367-9115,42,043,22,22,"{'latitude': '40.174866', 'longitude': '-76.656023', 'human_address': '{""address"": """", ""city"": ""Elizabethtown"", ""state"": ""Pennsylvania"", ""zip"": ""17022""}'}",1961,158,134,28,18
460,DDAP-Licensed Treatment Facility,Malvern Institute,2405 North Broad Street,Montgomery,610-647-0330,42,091,46,46,"{'latitude': '40.263384', 'longitude': '-75.25781', 'human_address': '{""address"": """", ""city"": ""Colmar"", ""state"": ""Pennsylvania"", ""zip"": ""18915""}'}",526,313,200,42,57
461,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc.",201 East Main Street,Snyder,570-837-2208,42,109,55,55,"{'latitude': '40.788741', 'longitude': '-77.043479', 'human_address': '{""address"": """", ""city"": ""Middleburg"", ""state"": ""Pennsylvania"", ""zip"": ""17842""}'}",2200,254,72,22,65
462,DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",1894 Plank Road,Blair,888-694-9996,42,013,7,07,"{'latitude': '40.44467', 'longitude': '-78.41107', 'human_address': '{""address"": """", ""city"": ""Duncansville"", ""state"": ""Pennsylvania"", ""zip"": ""16635""}'}",1580,268,29,17,46
463,DDAP-Licensed Treatment Facility,North Philadelphia Health System - Return Program 1&2,"801 West Girard Avenue, 3rd Floor GMC Building",Philadelphia,215-787-2468,42,101,51,51,"{'latitude': '39.9711298', 'longitude': '-75.1496002', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19122""}'}",1069,365,194,47,13
464,DDAP-Licensed Treatment Facility,Pennsylvania Counseling Services Renaissance,618 Cumberland Street,Lebanon,717-274-2741,42,075,38,38,"{'latitude': '40.339148', 'longitude': '-76.421764', 'human_address': '{""address"": """", ""city"": ""Lebanon"", ""state"": ""Pennsylvania"", ""zip"": ""17042""}'}",203,310,151,28,25
465,DDAP-Licensed Treatment Facility,"Milestone Centers, Inc.",712 South Avenue,Allegheny,412-371-7391,42,003,2,02,"{'latitude': '40.441567', 'longitude': '-79.885133', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15221""}'}",2379,437,104,11,40
466,DDAP-Licensed Treatment Facility,Naaman Center,"835 Houston Run Drive, Suite 200",Lancaster,888-243-4316,42,071,36,36,"{'latitude': '39.98732', 'longitude': '-76.0205', 'human_address': '{""address"": """", ""city"": ""Gap"", ""state"": ""Pennsylvania"", ""zip"": ""17527""}'}",1526,359,133,25,23
467,DDAP-Licensed Treatment Facility,Focus Counseling Services,206 South Orange Street,Delaware,610-566-4330,42,045,23,23,"{'latitude': '39.917201', 'longitude': '-75.3936559', 'human_address': '{""address"": """", ""city"": ""Media"", ""state"": ""Pennsylvania"", ""zip"": ""19063""}'}",2336,380,63,39,28
468,DDAP-Licensed Treatment Facility,"BGI of Brandywine, Inc",1375 Newark Road,Chester,610-268-3588,42,029,15,15,"{'latitude': '39.849181', 'longitude': '-75.768461', 'human_address': '{""address"": """", ""city"": ""Kennett Square"", ""state"": ""Pennsylvania"", ""zip"": ""19348""}'}",866,87,147,32,6
469,DDAP-Licensed Treatment Facility,"White Deer Run, Inc.","Box 97, 360 White Deer Run Road",Union,570-538-2567,42,119,60,60,"{'latitude': '41.09998', 'longitude': '-76.926125', 'human_address': '{""address"": """", ""city"": ""Allenwood"", ""state"": ""Pennsylvania"", ""zip"": ""17810""}'}",2279,463,75,21,49
470,DDAP-Licensed Treatment Facility,Malvern Institute (Northeast),4612 Street Road,Bucks,800-291-0600,42,017,9,09,"{'latitude': '40.1353238', 'longitude': '-74.9807381', 'human_address': '{""address"": """", ""city"": ""Trevose"", ""state"": ""Pennsylvania"", ""zip"": ""19053""}'}",224,6,119,50,35
471,DDAP-Licensed Treatment Facility,"Milestone Rehabilitation, LLC",1701 Grant Avenue,Philadelphia,215-464-3838,42,101,51,51,"{'latitude': '40.086938', 'longitude': '-75.039079', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19115""}'}",1069,365,124,49,13
472,DDAP-Licensed Treatment Facility,Sanare Today,1084 Lancaster Avenue Suite 304,Delaware,484-678-0525,42,045,23,23,"{'latitude': '40.027667', 'longitude': '-75.330414', 'human_address': '{""address"": """", ""city"": ""Rosemont"", ""state"": ""Pennsylvania"", ""zip"": ""19010""}'}",2303,378,175,41,28
473,DDAP-Licensed Treatment Facility,"Pennsylvania Care, LLC D/B/A Miners Medical",43 South Main Street,Luzerne,570-822-5145,42,079,40,40,"{'latitude': '41.211235', 'longitude': '-75.90158', 'human_address': '{""address"": """", ""city"": ""Ashley"", ""state"": ""Pennsylvania"", ""zip"": ""18706""}'}",332,52,99,30,14
474,PacMAT,"Allegheny Health Network, North Side Christian Health Center",816 Middle St,Allegheny,412-321-4001,42,003,2,02,"{'latitude': '40.455188', 'longitude': '-79.999385', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15212""}'}",2158,324,164,6,40
475,DDAP-Licensed Treatment Facility,"Avenues Recovery Center of Bucks, LLC",1753 Kendarbren Drive Suite 612 & 621-622,Bucks,215-792-7305,42,017,9,09,"{'latitude': '40.258607', 'longitude': '-75.090829', 'human_address': '{""address"": """", ""city"": ""Jamison"", ""state"": ""Pennsylvania"", ""zip"": ""18929""}'}",397,22,158,50,35
476,DDAP-Licensed Treatment Facility,"Gaudenzia DRC, Inc.",3200 Henry Avenue,Philadelphia,215-991-9700,42,101,51,51,"{'latitude': '40.0093541', 'longitude': '-75.1810002', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19129""}'}",1069,365,181,43,13
477,DDAP-Licensed Treatment Facility,The Wedge Medical Center PC,2009 South Broad Street,Philadelphia,215-271-2200,42,101,51,51,"{'latitude': '39.9252223', 'longitude': '-75.1690299', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19148""}'}",1069,365,193,47,13
478,DDAP-Licensed Treatment Facility,Horsham Clinic,722 East Butler Pike,Montgomery,215-643-7800,42,091,46,46,"{'latitude': '40.1545535', 'longitude': '-75.2215651', 'human_address': '{""address"": """", ""city"": ""Ambler"", ""state"": ""Pennsylvania"", ""zip"": ""19002""}'}",830,487,173,42,57
479,DDAP-Licensed Treatment Facility,"Pyramid Healthcare, Inc.",1990 Woodbourne Road,Bucks,215-968-4713,42,017,9,09,"{'latitude': '40.214437', 'longitude': '-74.9048998', 'human_address': '{""address"": """", ""city"": ""Langhorne"", ""state"": ""Pennsylvania"", ""zip"": ""19047""}'}",391,284,165,50,35
480,DDAP-Licensed Treatment Facility,Deerfield Center for Addictions Treatment,"Chestnut Street, Marienville Medical Center",Forest,888-893-3228,42,053,27,27,"{'latitude': '41.4691472', 'longitude': '-79.1235013', 'human_address': '{""address"": """", ""city"": ""Marienville"", ""state"": ""Pennsylvania"", ""zip"": ""16239""}'}",1336,186,24,5,32
481,DDAP-Licensed Treatment Facility,Hope Springs Behavioral Health,2370 York Road Suite D4,Bucks,215-491-9900,42,017,9,09,"{'latitude': '40.260693', 'longitude': '-75.08663', 'human_address': '{""address"": """", ""city"": ""Jamison"", ""state"": ""Pennsylvania"", ""zip"": ""18929""}'}",397,22,158,50,35
482,DDAP-Licensed Treatment Facility,"Little Creek Lodge, LLC",359 Easton Turnpike,Wayne,570-689-2644,42,127,64,64,"{'latitude': '41.387411', 'longitude': '-75.396891', 'human_address': '{""address"": """", ""city"": ""Lake Ariel"", ""state"": ""Pennsylvania"", ""zip"": ""18436""}'}",30,462,109,29,53
483,DDAP-Licensed Treatment Facility,"Berks Counseling Center, Inc.",645 Penn Street,Berks,610-373-4281,42,011,6,06,"{'latitude': '40.335559', 'longitude': '-75.924456', 'human_address': '{""address"": """", ""city"": ""Reading"", ""state"": ""Pennsylvania"", ""zip"": ""19601""}'}",39,297,117,31,45
484,DDAP-Licensed Treatment Facility,"Gaudenzia, Inc. Outreach II",39 East School House Lane,Philadelphia,215-849-7200,42,101,51,51,"{'latitude': '40.0351844', 'longitude': '-75.1722176', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19144""}'}",1069,365,177,45,13
485,DDAP-Licensed Treatment Facility,"Skills of Central Pennsylvania, Inc.",123 Main Street  Suite A,Cambria,814-713-8289,42,021,11,11,"{'latitude': '40.388685', 'longitude': '-78.672241', 'human_address': '{""address"": """", ""city"": ""Portage"", ""state"": ""Pennsylvania"", ""zip"": ""15946""}'}",923,294,20,16,2
486,PacMAT,"Geisinger Clinic, Geisinger Medication Assisted Treatment Program",549 Fair Street ,Columbia ,570-387-2055,42,037,19,19,"{'latitude': '41.008653', 'longitude': '-76.452824', 'human_address': '{""address"": """", ""city"": ""Bloomsburg"", ""state"": ""Pennsylvania"", ""zip"": ""17815""}'}",2351,133,90,22,10
487,DDAP-Licensed Treatment Facility,Silver Pines Treatment Center,5 White Owl Drive,Schuylkill,570-773-5388,42,107,54,54,"{'latitude': '40.813833', 'longitude': '-76.12413', 'human_address': '{""address"": """", ""city"": ""Mahanoy City"", ""state"": ""Pennsylvania"", ""zip"": ""17948""}'}",2189,217,53,27,64
488,DDAP-Licensed Treatment Facility,The Care Center D/B/A SPHS Care Center,100 West South  Street,Greene,724-228-2200,42,059,30,30,"{'latitude': '39.89615', 'longitude': '-79.97435', 'human_address': '{""address"": """", ""city"": ""Carmichaels"", ""state"": ""Pennsylvania"", ""zip"": ""15320""}'}",2388,16,1,12,37
489,DDAP-Licensed Treatment Facility,Wpic Narcotic Addiction Treatment Program,6714 Kelly Street,Allegheny,412-864-5300,42,003,2,02,"{'latitude': '40.457744', 'longitude': '-79.907929', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15208""}'}",2158,324,104,9,40
490,DDAP-Licensed Treatment Facility,PHMC Pathways To Recovery,2301 East Allegheny Avenue,Philadelphia,215-731-2021,42,101,51,51,"{'latitude': '39.989739', 'longitude': '-75.106348', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19134""}'}",1069,365,185,49,13
491,DDAP-Licensed Treatment Facility,Safe Harbor Behavioral Health of UPMC Hamot,1330 West 26th Street,Erie,814-451-2225,42,049,25,25,"{'latitude': '42.101958', 'longitude': '-80.102414', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16508""}'}",2182,61,50,4,30
492,DDAP-Licensed Treatment Facility,"PA Care, LLC D/B/A State College Medical","3091 Enterprise Drive, Suite 150, Building D",Centre,814-235-6988,42,027,14,14,"{'latitude': '40.764324', 'longitude': '-77.8796902', 'human_address': '{""address"": """", ""city"": ""State College"", ""state"": ""Pennsylvania"", ""zip"": ""16801""}'}",765,406,71,18,5
493,DDAP-Licensed Treatment Facility,Gateway Erie,1928 Wager Road,Erie,814-825-0373,42,049,25,25,"{'latitude': '42.093992', 'longitude': '-80.015809', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16509""}'}",2347,309,50,4,30
494,DDAP-Licensed Treatment Facility,The Retreat at White Birch,25 Resevoir Street,Lackawanna,570-702-4778,42,069,35,35,"{'latitude': '41.59232', 'longitude': '-75.48311', 'human_address': '{""address"": """", ""city"": ""Carbondale"", ""state"": ""Pennsylvania"", ""zip"": ""18407""}'}",1,145,100,34,22
495,DDAP-Licensed Treatment Facility,UPMC McKeesport Hospital,1500 Fifth Avenue,Allegheny,412-664-2000,42,003,2,02,"{'latitude': '40.351035', 'longitude': '-79.849019', 'human_address': '{""address"": """", ""city"": ""McKeesport"", ""state"": ""Pennsylvania"", ""zip"": ""15132""}'}",2153,243,87,8,40
496,DDAP-Licensed Treatment Facility,The Guidance Center,110 Campus Drive,McKean,814-362-6535,42,083,42,42,"{'latitude': '41.954333', 'longitude': '-78.660914', 'human_address': '{""address"": """", ""city"": ""Bradford"", ""state"": ""Pennsylvania"", ""zip"": ""16701""}'}",999,138,14,14,47
497,Center of Excellence,WPIC of UPMCPS,3811 O'Hara Street,Allegheny,412-605-1546,42,003,2,02,"{'latitude': '40.444196', 'longitude': '-79.960269', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15213""}'}",2158,324,106,11,40
498,DDAP-Licensed Treatment Facility,Gaudenzia Kindred House,1030 South Concord Road,Chester,610-399-6571,42,029,15,15,"{'latitude': '39.935205', 'longitude': '-75.572845', 'human_address': '{""address"": """", ""city"": ""West Chester"", ""state"": ""Pennsylvania"", ""zip"": ""19382""}'}",181,480,148,35,6
499,DDAP-Licensed Treatment Facility,Project Transition,5003 Umbria Street,Philadelphia,215-964-1480,42,101,51,51,"{'latitude': '40.0626352', 'longitude': '-75.23727', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19128""}'}",1069,365,181,46,13
500,DDAP-Licensed Treatment Facility,Pennsylvania Psychiatric Institute,401 Division Street,Dauphin,717-480-8083,42,043,22,22,"{'latitude': '40.291078', 'longitude': '-76.899006', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17110""}'}",1625,182,42,23,18
501,DDAP-Licensed Treatment Facility,Lehigh County Center for Recovery,1620 Riverside Drive,Lehigh,610-814-7750,42,077,39,39,"{'latitude': '40.61319', 'longitude': '-75.4131', 'human_address': '{""address"": """", ""city"": ""Bethlehem"", ""state"": ""Pennsylvania"", ""zip"": ""18015""}'}",269,384,142,10,26
502,DDAP-Licensed Treatment Facility,Safe Haven Treatment Services,486 West Market Street,York,717-845-5699,42,133,67,67,"{'latitude': '39.958646', 'longitude': '-76.740061', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17401""}'}",1155,495,135,24,12
503,DDAP-Licensed Treatment Facility,Greenbriar Treatment Center,1928 1/2 Murray Avenue,Allegheny,412-421-4311,42,003,2,02,"{'latitude': '40.431249', 'longitude': '-79.923615', 'human_address': '{""address"": """", ""city"": ""Pittsburgh"", ""state"": ""Pennsylvania"", ""zip"": ""15217""}'}",2158,324,106,11,40
504,DDAP-Licensed Treatment Facility,"Perry Human Services, Inc.","8391 Spring Road, PO Box 436",Perry,717-582-8703,42,099,50,50,"{'latitude': '40.416203', 'longitude': '-77.18119', 'human_address': '{""address"": """", ""city"": ""New Bloomfield"", ""state"": ""Pennsylvania"", ""zip"": ""17068""}'}",1648,485,37,23,61
505,Center of Excellence,Habit OPCO Dunmore Comprehensive Treatment Center,118 Monahan Avenue,Lackawanna,570-344-5327,42,069,35,35,"{'latitude': '41.431217', 'longitude': '-75.615794', 'human_address': '{""address"": """", ""city"": ""Dunmore"", ""state"": ""Pennsylvania"", ""zip"": ""18512""}'}",566,189,125,34,22
506,DDAP-Licensed Treatment Facility,Cece's Place,"100 Superior Avenue, 11th Floor",Beaver,724-591-4925,42,007,4,04,"{'latitude': '40.618934', 'longitude': '-80.246626', 'human_address': '{""address"": """", ""city"": ""Aliquippa"", ""state"": ""Pennsylvania"", ""zip"": ""15001""}'}",151,7,156,12,42
507,DDAP-Licensed Treatment Facility,"Philadelphia Counseling Center, LLC","25 Bala Avenue, Suite 202",Montgomery,610-298-1999,42,091,46,46,"{'latitude': '40.00204', 'longitude': '-75.22913', 'human_address': '{""address"": """", ""city"": ""Bala Cynwyd"", ""state"": ""Pennsylvania"", ""zip"": ""19004""}'}",673,230,181,41,57
508,DDAP-Licensed Treatment Facility,Gaudenzia Outpatient,2039 North Second Street,Dauphin,717-233-3424,42,043,22,22,"{'latitude': '40.277762', 'longitude': '-76.897691', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17102""}'}",1625,182,42,23,18
509,DDAP-Licensed Treatment Facility,Genesis House - Bloomsburg,320 East Second Street,Columbia,570-784-4073,42,037,19,19,"{'latitude': '41.0046131', 'longitude': '-76.4532834', 'human_address': '{""address"": """", ""city"": ""Bloomsburg"", ""state"": ""Pennsylvania"", ""zip"": ""17815""}'}",2351,133,90,22,10
510,Center of Excellence,Alliance Medical Services-Johnstown,1425 Scalp Avenue,Cambria,814-269-4700,42,021,11,11,"{'latitude': '40.272553', 'longitude': '-78.856557', 'human_address': '{""address"": """", ""city"": ""Johnstown"", ""state"": ""Pennsylvania"", ""zip"": ""15904""}'}",33,404,21,16,2
511,DDAP-Licensed Treatment Facility,Gaudenzia Montgomery County Outpatient,166 West Main Street,Montgomery,610-279-4262,42,091,46,46,"{'latitude': '40.1167423', 'longitude': '-75.3410932', 'human_address': '{""address"": """", ""city"": ""Norristown"", ""state"": ""Pennsylvania"", ""zip"": ""19401""}'}",2374,301,152,41,57
512,DDAP-Licensed Treatment Facility,"Blueprints For Addiction Recovery, Inc.",45 Wyntrebrook Drive,York,484-639-4766,42,133,67,67,"{'latitude': '39.929456', 'longitude': '-76.712013', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17403""}'}",470,43,136,24,12
513,DDAP-Licensed Treatment Facility,White Deer Run York Assessment Center,257 East Market Street,York,717-840-2308,42,133,67,67,"{'latitude': '39.964323', 'longitude': '-76.722266', 'human_address': '{""address"": """", ""city"": ""York"", ""state"": ""Pennsylvania"", ""zip"": ""17403""}'}",1155,495,135,24,12
514,DDAP-Licensed Treatment Facility,"Spanish American Civic Association for Equality, Inc",134 Locust Street,Lancaster,717-509-2030,42,071,36,36,"{'latitude': '40.036404', 'longitude': '-76.299395', 'human_address': '{""address"": """", ""city"": ""Lancaster"", ""state"": ""Pennsylvania"", ""zip"": ""17602""}'}",1993,89,143,25,23
515,DDAP-Licensed Treatment Facility,Deerfield Center For Addictions Treatment,514 West Third Avenue,Warren,814-723-5545,42,123,62,62,"{'latitude': '41.845954', 'longitude': '-79.153124', 'human_address': '{""address"": """", ""city"": ""Warren"", ""state"": ""Pennsylvania"", ""zip"": ""16365""}'}",2129,234,60,5,51
516,PacMAT,"UPMC Insurance Division, Pyramid Healthcare Erie Outpatient Treatment Center",2409 State Street C,Erie,814-456-2203,42,049,25,25,"{'latitude': '42.1135478', 'longitude': '-80.07414', 'human_address': '{""address"": """", ""city"": ""Erie"", ""state"": ""Pennsylvania"", ""zip"": ""16503""}'}",2182,61,51,4,30
517,DDAP-Licensed Treatment Facility,Another Chance Counseling,"756 Cumberland Street, Suite #3",Lebanon,717-507-1386,42,075,38,38,"{'latitude': '40.3393267', 'longitude': '-76.4239649', 'human_address': '{""address"": """", ""city"": ""Lebanon"", ""state"": ""Pennsylvania"", ""zip"": ""17042""}'}",203,310,151,28,25
518,DDAP-Licensed Treatment Facility,Psychological Services Clinic Satellite,405 Bloom Street,Montour,570-275-7770,42,093,47,47,"{'latitude': '40.964462', 'longitude': '-76.6096', 'human_address': '{""address"": """", ""city"": ""Danville"", ""state"": ""Pennsylvania"", ""zip"": ""17821""}'}",785,64,54,22,58
519,DDAP-Licensed Treatment Facility,The Consortium University City/Family Preservation,451 University Avenue Rear,Philadelphia,215-596-8000,42,101,51,51,"{'latitude': '39.949135', 'longitude': '-75.199486', 'human_address': '{""address"": """", ""city"": ""Philadelphia"", ""state"": ""Pennsylvania"", ""zip"": ""19104""}'}",1069,365,189,44,13
520,DDAP-Licensed Treatment Facility,Race to Recovery Now Outpatient Facility Glen Mills,43 Doughtery Blvd,Delaware,610-247-5961,42,045,23,23,"{'latitude': '39.896357', 'longitude': '-75.486827', 'human_address': '{""address"": """", ""city"": ""Glen Mills"", ""state"": ""Pennsylvania"", ""zip"": ""19342""}'}",897,56,64,35,28
521,DDAP-Licensed Treatment Facility,"A Better Today, Inc.",126 Warren Street,Wyoming,570-996-9600,42,131,66,66,"{'latitude': '41.5394997', 'longitude': '-75.9477739', 'human_address': '{""address"": """", ""city"": ""Tunkhannock"", ""state"": ""Pennsylvania"", ""zip"": ""18657""}'}",1000,444,91,29,11
522,DDAP-Licensed Treatment Facility,Gaudenzia Erie Inc. Girard Satellite Office,259 East Main Street,Erie,814-459-6304,42,049,25,25,"{'latitude': '42.002693', 'longitude': '-80.312599', 'human_address': '{""address"": """", ""city"": ""Girard"", ""state"": ""Pennsylvania"", ""zip"": ""16417""}'}",1216,96,48,4,30
523,DDAP-Licensed Treatment Facility,"Genesis House, Inc.",800 West Fourth Street Suite G-01,Lycoming,570-322-0520,42,081,41,41,"{'latitude': '41.2411897', 'longitude': '-77.0010786', 'human_address': '{""address"": """", ""city"": ""Williamsport"", ""state"": ""Pennsylvania"", ""zip"": ""17701""}'}",1903,441,76,21,15
524,DDAP-Licensed Treatment Facility,First Hospital,"562 Wyoming Avenue, Second Floor",Luzerne,570-552-3900,42,079,40,40,"{'latitude': '41.2617481', 'longitude': '-75.8968635', 'human_address': '{""address"": """", ""city"": ""Kingston"", ""state"": ""Pennsylvania"", ""zip"": ""18704""}'}",1245,493,98,29,14
525,DDAP-Licensed Treatment Facility,"Abstinent Living at The Turning Point at Washington, Inc.",199 North Main Street,Washington,724-228-2203,42,125,63,63,"{'latitude': '40.17392', 'longitude': '-80.2462703', 'human_address': '{""address"": """", ""city"": ""Washington"", ""state"": ""Pennsylvania"", ""zip"": ""15301""}'}",2097,455,4,12,52
526,DDAP-Licensed Treatment Facility,Gateway Rehabilitation Center Inc. Moffett House,"1215 Seventh Avenue, Suite 313 (Rear)",Beaver,724-846-6145,42,007,4,04,"{'latitude': '40.7520097', 'longitude': '-80.3192295', 'human_address': '{""address"": """", ""city"": ""Beaver Falls"", ""state"": ""Pennsylvania"", ""zip"": ""15010""}'}",16,125,25,2,42
527,DDAP-Licensed Treatment Facility,Livengrin Counseling Center,"550 Pinetown Road, Suite 150",Montgomery,215-540-8301,42,091,46,46,"{'latitude': '40.1408595', 'longitude': '-75.1949856', 'human_address': '{""address"": """", ""city"": ""Fort Washington"", ""state"": ""Pennsylvania"", ""zip"": ""19034""}'}",692,476,170,43,57
528,PacMAT,"Penn State University College of Medicine, Marc Turgeon, DO",100 North Cameron Street,Dauphin,717-872-0568,42,043,22,22,"{'latitude': '40.266403', 'longitude': '-76.875789', 'human_address': '{""address"": """", ""city"": ""Harrisburg"", ""state"": ""Pennsylvania"", ""zip"": ""17101-2424""}'}",1625,182,42,23,18
