,Drug Take-Back Site,Address,City,State,Zip Code,County,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Grant Owned,Status,Pa Senatorial Districts (2017-01),Pennsylvania County Boundaries,US House Districts for PA 2019,Municipality Boundary,Pa School Districts (2017),Pa House Districts (2017-01),Phone Number,Hours of Availability,Box Status,Attention
464,Borough of Crafton Police Dept.,100 Stotz Avenue,Crafton,PA,15205,Allegheny,"{'latitude': '40.434784', 'longitude': '-80.06627', 'human_address': '{""address"": ""100 Stotz Avenue"", ""city"": ""Crafton"", ""state"": ""PA"", ""zip"": ""15205""}'}","{'type': 'Point', 'coordinates': [-80.066555, 40.434835]}",40.434835,-80.066555,Yes,Active,6,40,17,1768,15,97,(412)921-2016,"M-F, 8:30am-5pm",Ordered 4-26-16,Chief Mark Sumpter
465,Middletown Township Police,3 Municipal Way,Langhorne,PA,19047,Bucks,"{'latitude': '40.182981', 'longitude': '-74.90663', 'human_address': '{""address"": ""3 Municipal Way"", ""city"": ""Langhorne"", ""state"": ""PA"", ""zip"": ""19047""}'}","{'type': 'Point', 'coordinates': [-74.9066919, 40.182818]}",40.182818,-74.9066919,No,Active,50,35,4,391,284,165,(215)750-3845,M-F 8:30-4:30,Operational,
466,Grand View Health  Hospital Main Lobby,700 Lawn Avenue,Sellersville,PA,18960,Bucks,"{'latitude': '40.362761', 'longitude': '-75.32448', 'human_address': '{""address"": ""700 Lawn Avenue"", ""city"": ""Sellersville"", ""state"": ""PA"", ""zip"": ""18960""}'}","{'type': 'Point', 'coordinates': [-75.3271409, 40.3624445]}",40.3624445,-75.3271409,Yes,Active,40,35,4,1312,345,128,,5:00am -8:00pm,active,
467,"CVS PHARMACY, L.L.C. # 00858 (ALLENTOWN)",315 WEST EMAUS AVENUE,ALLENTOWN,PA,18103,Lehigh,"{'latitude': '40.577941', 'longitude': '-75.454081', 'human_address': '{""address"": ""315 WEST EMAUS AVENUE"", ""city"": ""ALLENTOWN"", ""state"": ""PA"", ""zip"": ""18103""}'}","{'type': 'Point', 'coordinates': [-75.454227, 40.57858]}",40.57858,-75.454227,No,Active,36,26,12,455,99,162,,,Pharmacy,
468,Walgreens Pharmacy (Butler Location),280 New Castle Rd,Butler,PA,16001,Butler,"{'latitude': '40.872938', 'longitude': '-79.939632', 'human_address': '{""address"": ""280 New Castle Rd"", ""city"": ""Butler"", ""state"": ""PA"", ""zip"": ""16001""}'}","{'type': 'Point', 'coordinates': [-79.939428, 40.87332]}",40.87332,-79.939428,No,Active,5,1,11,1388,100,10,724–282–9414,,,
469,CVS #1309,250 S. COURTLAND ST.,EAST STROUDSBURG,PA,18301,"MONROE,PA","{'latitude': '40.995324', 'longitude': '-75.182835', 'human_address': '{""address"": ""250 S. COURTLAND ST."", ""city"": ""EAST STROUDSBURG"", ""state"": ""PA"", ""zip"": ""18301""}'}","{'type': 'Point', 'coordinates': [-75.18208, 40.995126]}",40.995126,-75.18208,No,Active,38,56,12,1043,193,110,5704240830,Follows Pharmacy Hours of Operation,Pharmacy,
470,State Police-Troop G / Lewistown,34 Arch Rock Rd.,Mifflintown,PA,17059,Mifflin,"{'latitude': '40.597606', 'longitude': '-77.41531', 'human_address': '{""address"": ""34 Arch Rock Rd."", ""city"": ""Mifflintown"", ""state"": ""PA"", ""zip"": ""17059""}'}","{'type': 'Point', 'coordinates': [-77.411975, 40.598589]}",40.598589,-77.411975,No,Active,18,21,2,50,201,36,,,,
471,Hazleton City Police Dept. Headquarters,40 North Church Street,Hazleton,PA,18201,Luzerne,"{'latitude': '40.985486', 'longitude': '-75.98154', 'human_address': '{""address"": ""40 North Church Street"", ""city"": ""Hazleton"", ""state"": ""PA"", ""zip"": ""18201""}'}","{'type': 'Point', 'coordinates': [-75.9768695, 40.9562348]}",40.9562348,-75.9768695,Yes,Active,30,14,7,215,261,92,(570)459-4940,M-F 8am-4:30pm.,Operational,Off. James Senape
472,ORBY PHARMACY INC,"626 WATER STREET, SUITE 3",ORBISONIA,PA,17243,Huntingdon,"{'latitude': '40.24035', 'longitude': '-77.891757', 'human_address': '{""address"": ""626 WATER STREET, SUITE 3"", ""city"": ""ORBISONIA"", ""state"": ""PA"", ""zip"": ""17243""}'}","{'type': 'Point', 'coordinates': [-77.892238, 40.240221]}",40.240221,-77.892238,No,Active,17,38,13,92,392,32,,,Pharmacy,
473,Caernarvon Twp. Police Department,3307 Main Street,Morgantown,PA,19543,Berks,"{'latitude': '40.155993', 'longitude': '-75.886757', 'human_address': '{""address"": ""3307 Main Street"", ""city"": ""Morgantown"", ""state"": ""PA"", ""zip"": ""19543""}'}","{'type': 'Point', 'coordinates': [-76.063219, 40.114175]}",40.114175,-76.063219,No,Active,31,45,15,596,448,118,(610)286-1012,"Monday to Friday 8 am-4pm, except holidays",Operational,Chief Paul R Stolz
474,Conneaut Lake Regional Police Dept.,9878 State Highway 285,Conneaut Lake,PA,16316,Crawford,"{'latitude': '41.604237', 'longitude': '-80.333165', 'human_address': '{""address"": ""9878 State Highway 285"", ""city"": ""Conneaut Lake"", ""state"": ""PA"", ""zip"": ""16316""}'}","{'type': 'Point', 'coordinates': [-80.3130843, 41.6034754]}",41.6034754,-80.3130843,Yes,Active,3,16,11,2030,76,48,(814)382-4364,24 hours a day 7 days a week,Operational,Chief Todd Pfeifer
475,State Police-Troop A / Indiana,4221 Rt 286 Hwy West,Indiana,PA,15701,Indiana,"{'latitude': '40.5907', 'longitude': '-79.204087', 'human_address': '{""address"": ""4221 Rt 286 Hwy West"", ""city"": ""Indiana"", ""state"": ""PA"", ""zip"": ""15701""}'}","{'type': 'Point', 'coordinates': [-79.203679, 40.590018]}",40.590018,-79.203679,No,Active,15,19,3,415,269,27,,,,
476,Township of Shaler Police Dept.,300 Wetzel Road,Glenshaw,PA,15116,Allegheny,"{'latitude': '40.524195', 'longitude': '-79.968872', 'human_address': '{""address"": ""300 Wetzel Road"", ""city"": ""Glenshaw"", ""state"": ""PA"", ""zip"": ""15116""}'}","{'type': 'Point', 'coordinates': [-79.970024, 40.524061]}",40.524061,-79.970024,Yes,Active,9,40,17,1816,430,159,(412)492-2222,,,Chief Bryan Kelly
477,Richland Township Police,229 California Road,Quakertown,PA,18951,Bucks,"{'latitude': '40.45057', 'longitude': '-75.353528', 'human_address': '{""address"": ""229 California Road"", ""city"": ""Quakertown"", ""state"": ""PA"", ""zip"": ""18951""}'}","{'type': 'Point', 'coordinates': [-75.3527824, 40.4494561]}",40.4494561,-75.3527824,No,Active,37,35,4,401,383,128,(215)536-9500,M-F 8:30-4:30,Operational,
478,CVS #1597,101 NORTH STATE STREET,CLARKS SUMMIT,PA,18411,"LACKAWANNA,PA","{'latitude': '41.495764', 'longitude': '-75.705153', 'human_address': '{""address"": ""101 NORTH STATE STREET"", ""city"": ""CLARKS SUMMIT"", ""state"": ""PA"", ""zip"": ""18411""}'}","{'type': 'Point', 'coordinates': [-75.705983, 41.495702]}",41.495702,-75.705983,No,Active,34,22,7,493,13,100,5705871205,Follows Pharmacy Hours of Operation,Pharmacy,
479,Leet Township Police Dept.,198 Ambridge Avenue,Ambridge,PA,15003,Allegheny,"{'latitude': '40.583359', 'longitude': '-80.209848', 'human_address': '{""address"": ""198 Ambridge Avenue"", ""city"": ""Ambridge"", ""state"": ""PA"", ""zip"": ""15003""}'}","{'type': 'Point', 'coordinates': [-80.209627, 40.583512]}",40.583512,-80.209627,Yes,Active,7,40,17,707,382,156,(724)266-6141,,,"Chief William Wanto, Jr."
480,Cumberland Twp. Police Dept,100 Municipal Road,Carmichaels,PA,15320,Greene,"{'latitude': '39.898664', 'longitude': '-79.965491', 'human_address': '{""address"": ""100 Municipal Road"", ""city"": ""Carmichaels"", ""state"": ""PA"", ""zip"": ""15320""}'}","{'type': 'Point', 'coordinates': [-79.966045, 39.897301]}",39.897301,-79.966045,No,Active,12,37,9,87,16,1,(724)966-8296,24/7,Unknown,Chief Craig T. Miller
481,Weis Market (Milton),555 Mahoning St,Milton,PA,17847,Northumberland,"{'latitude': '41.01156', 'longitude': '-76.84506', 'human_address': '{""address"": ""555 Mahoning St"", ""city"": ""Milton"", ""state"": ""PA"", ""zip"": ""17847""}'}","{'type': 'Point', 'coordinates': [-76.844324, 41.0120538]}",41.0120538,-76.844324,No,Active,22,60,2,2273,165,73,(570) 742-9184,7 AM - 9 PM,active,
482,Catasauqua Police Dept.,118 Bridge Street,Catasauqua,PA,18032-2598,Lehigh,"{'latitude': '40.653704', 'longitude': '-75.474207', 'human_address': '{""address"": ""118 Bridge Street"", ""city"": ""Catasauqua"", ""state"": ""PA"", ""zip"": ""18032-2598""}'}","{'type': 'Point', 'coordinates': [-75.4744, 40.653829]}",40.653829,-75.4744,Yes,Active,10,26,12,342,18,142,(610)264-0577,"M-F 8am-4pm, except holidays.",Operational,Chief Douglas Kish
483,State Police-Troop C / Marienville,4956 SR 899,Marienville,PA,16239,Forest,"{'latitude': '41.455315', 'longitude': '-79.142343', 'human_address': '{""address"": ""4956 SR 899"", ""city"": ""Marienville"", ""state"": ""PA"", ""zip"": ""16239""}'}","{'type': 'Point', 'coordinates': [-79.140815, 41.455243]}",41.455243,-79.140815,No,Active,5,32,3,1336,186,24,,,,
484,CVS #53,590 PALMYRA TWNSHP/RTE 6/LAKE REGION CTR,HAWLEY,PA,18428,"WAYNE,PA",,"{'type': 'Point', 'coordinates': [-75.180693, 41.46421]}",41.46421,-75.180693,No,Active,,,7,,,,5702266550,Follows Pharmacy Hours of Operation,Pharmacy,
485,East Earl Township Police Dept.,128 Toddy Drive,East Earl,PA,17519,Lancaster,"{'latitude': '40.117878', 'longitude': '-76.030952', 'human_address': '{""address"": ""128 Toddy Drive"", ""city"": ""East Earl"", ""state"": ""PA"", ""zip"": ""17519""}'}","{'type': 'Point', 'coordinates': [-76.030852, 40.117398]}",40.117398,-76.030852,Yes,Active,26,23,15,1534,194,133,(717)355-5302,M-F 6am-5pm or call 717-354-2211 for 24 hour access,Operational,"Chief Kevin C. McCarthy, Sr."
486,Upper Makefield Twp Police,1076 Eagle Road,Newtown,PA,18940,Bucks,"{'latitude': '40.288083', 'longitude': '-74.939937', 'human_address': '{""address"": ""1076 Eagle Road"", ""city"": ""Newtown"", ""state"": ""PA"", ""zip"": ""18940""}'}","{'type': 'Point', 'coordinates': [-74.9374699, 40.2877123]}",40.2877123,-74.9374699,No,Active,40,35,4,105,80,155,(215)968-3020,M-F 8:30-4:30,Operational,
487,Lititz Borough Police,7 South Broad Street,Lititz,PA,17543-1401,Lancaster,"{'latitude': '40.156704', 'longitude': '-76.307213', 'human_address': '{""address"": ""7 South Broad Street"", ""city"": ""Lititz"", ""state"": ""PA"", ""zip"": ""17543-1401""}'}","{'type': 'Point', 'coordinates': [-76.3071033, 40.1567259]}",40.1567259,-76.3071033,Yes,Active,26,23,15,330,464,132,(717)626-6393,M-F 8am-4:30pm.,Operational,Chief William Seace
488,Bucks County Justice Center,100 North Main Street,Doylestown,PA,18901,Bucks,"{'latitude': '40.312755', 'longitude': '-75.130581', 'human_address': '{""address"": ""100 North Main Street"", ""city"": ""Doylestown"", ""state"": ""PA"", ""zip"": ""18901""}'}","{'type': 'Point', 'coordinates': [-75.130857, 40.312297]}",40.312297,-75.130857,No,Active,40,35,4,1272,22,145,(215)348-6000,,Operational,
489,Strasburg Borough Police Dept.,145 Precision Avenue,Strasburg,PA,17579,Lancaster,"{'latitude': '39.985424', 'longitude': '-76.191026', 'human_address': '{""address"": ""145 Precision Avenue"", ""city"": ""Strasburg"", ""state"": ""PA"", ""zip"": ""17579""}'}","{'type': 'Point', 'coordinates': [-76.1915746, 39.985289]}",39.985289,-76.1915746,Yes,Active,25,23,15,98,88,144,(717)687-7732,M-F 7:30am-4pm,Operational,Chief Steven Echternach
490,Jackson Township Police Dept.,140 Magill Road,Zelienople,PA,16063,Butler,"{'latitude': '40.792936', 'longitude': '-80.104262', 'human_address': '{""address"": ""140 Magill Road"", ""city"": ""Zelienople"", ""state"": ""PA"", ""zip"": ""16063""}'}","{'type': 'Point', 'coordinates': [-80.104255, 40.792926]}",40.792926,-80.104255,Yes,Active,2,1,11,208,426,13,(724)452-5600,,Operational,Chief Terry L. Seilhamer
491,CVS #974,1601 W. LIBERTY STREET,ALLENTOWN,PA,18102,"LEHIGH,PA","{'latitude': '40.603975', 'longitude': '-75.494127', 'human_address': '{""address"": ""1601 W. LIBERTY STREET"", ""city"": ""ALLENTOWN"", ""state"": ""PA"", ""zip"": ""18102""}'}","{'type': 'Point', 'coordinates': [-75.494051, 40.604248]}",40.604248,-75.494051,No,Active,36,26,12,455,99,112,6108209737,Follows Pharmacy Hours of Operation,Pharmacy,
492,Horsham Police Department,1025 Horsham Road,Horsham,PA,19044,Montgomery,"{'latitude': '40.207725', 'longitude': '-75.179011', 'human_address': '{""address"": ""1025 Horsham Road"", ""city"": ""Horsham"", ""state"": ""PA"", ""zip"": ""19044""}'}","{'type': 'Point', 'coordinates': [-75.178699, 40.207283]}",40.207283,-75.178699,No,Active,42,57,4,1573,257,170,,24 hours a day,Operational,
493,McDonald Police Dept.--Burgettstown Station,1509 Main Street,Burgettstown,PA,15021,Washington,"{'latitude': '40.382667', 'longitude': '-80.392941', 'human_address': '{""address"": ""1509 Main Street"", ""city"": ""Burgettstown"", ""state"": ""PA"", ""zip"": ""15021""}'}","{'type': 'Point', 'coordinates': [-80.3931867, 40.3819743]}",40.3819743,-80.3931867,Yes,Active,12,52,9,1698,109,2,(724)926-2105,24 hours a day/ 7 days a week,Operational,Chief Mark Dorsey
494,Brookhaven Police Department,#2 Cambridge Road,Brookhaven,PA,19015,Delaware,"{'latitude': '39.876315', 'longitude': '-75.391608', 'human_address': '{""address"": ""#2 Cambridge Road"", ""city"": ""Brookhaven"", ""state"": ""PA"", ""zip"": ""19015""}'}","{'type': 'Point', 'coordinates': [-75.3919976, 39.8766247]}",39.8766247,-75.3919976,No,Active,35,28,18,1894,338,66,,Please contact location,Operational,
495,Pequea Township Municipal Office,"1028 Millwood Road, Willow St, PA 17584",Lancaster,PA,17584,Lancaster,,"{'type': 'Point', 'coordinates': [-76.2888069, 39.9626845]}",39.9626845,-76.2888069,No,Active,,,15,,,,717-464-2322,,,
496,Allegheny Township Police Dept.,136 Community Building Rd.,Leechburg,PA,15656-9805,Westmoreland,"{'latitude': '40.60944', 'longitude': '-79.6098', 'human_address': '{""address"": ""136 Community Building Rd."", ""city"": ""Leechburg"", ""state"": ""PA"", ""zip"": ""15656-9805""}'}","{'type': 'Point', 'coordinates': [-79.610234, 40.6094729]}",40.6094729,-79.610234,Yes,Active,8,24,9,2528,171,78,(724)845-9410,24 hours/7 days a week.,Operational,Chief John Fontaine
497,"CVS PHARMACY, L.L.C. # 01913 (PHILADELPHIA)",1405 SOUTH 10TH STREET,PHILADELPHIA,PA,19147,Philadelphia,"{'latitude': '39.931742', 'longitude': '-75.161055', 'human_address': '{""address"": ""1405 SOUTH 10TH STREET"", ""city"": ""PHILADELPHIA"", ""state"": ""PA"", ""zip"": ""19147""}'}","{'type': 'Point', 'coordinates': [-75.16051, 39.931496]}",39.931496,-75.16051,No,Active,47,13,6,1069,365,193,,,Philadelphia,
498,Stroud Area Regional Police,100 Day Street,East Stroudsburg,PA,18301,Monroe,"{'latitude': '40.998342', 'longitude': '-75.185883', 'human_address': '{""address"": ""100 Day Street"", ""city"": ""East Stroudsburg"", ""state"": ""PA"", ""zip"": ""18301""}'}","{'type': 'Point', 'coordinates': [-75.186779, 40.999272]}",40.999272,-75.186779,No,Active,38,56,12,1043,193,110,,Unknown,Operational,
499,Geisinger Community Medical Center (GCMC) - Colfax Avenue entrance,1800 Mulberry St.,Scranton,PA,18510,Lackawanna,"{'latitude': '41.400948', 'longitude': '-75.646249', 'human_address': '{""address"": ""1800 Mulberry St."", ""city"": ""Scranton"", ""state"": ""PA"", ""zip"": ""18510""}'}","{'type': 'Point', 'coordinates': [-75.646084, 41.400206]}",41.400206,-75.646084,No,Active,34,22,7,1912,420,125,,Monday - Friday: 8 a.m. – 6 p.m.,Pharmacy,
500,New Sewickley Township Police Dept.,233 Miller Road,Rochester,PA,15074,Beaver,"{'latitude': '40.726062', 'longitude': '-80.190454', 'human_address': '{""address"": ""233 Miller Road"", ""city"": ""Rochester"", ""state"": ""PA"", ""zip"": ""15074""}'}","{'type': 'Point', 'coordinates': [-80.190639, 40.726375]}",40.726375,-80.190639,Yes,Active,2,42,17,1262,226,13,(724)774-2473,,,Chief Ron Leindecker
501,Willistown Township Police Dept.,688 Sugartown Road,Malvern,PA,19355,Chester,"{'latitude': '40.001479', 'longitude': '-75.509312', 'human_address': '{""address"": ""688 Sugartown Road"", ""city"": ""Malvern"", ""state"": ""PA"", ""zip"": ""19355""}'}","{'type': 'Point', 'coordinates': [-75.509766, 40.001192]}",40.001192,-75.509766,Yes,Active,39,6,14,1714,207,201,(610)251-0222,Unknown,Operational,Det. Sgt. Jeff Heim
502,Bloomsburg Police Dept.,301 East Second Street,Bloomsburg,PA,17815,Columbia,"{'latitude': '41.004528', 'longitude': '-76.453466', 'human_address': '{""address"": ""301 East Second Street"", ""city"": ""Bloomsburg"", ""state"": ""PA"", ""zip"": ""17815""}'}","{'type': 'Point', 'coordinates': [-76.4535179, 41.0047226]}",41.0047226,-76.4535179,Yes,Active,22,10,1,2351,133,90,(570)784-4155,M-F 8:30 am - 12 midnight,Operational,Acting Chief Roger Van Loan
503,South Abington Police Dept.,104 Shady Lane Road,Chinchilla,PA,18410,Lackawanna,"{'latitude': '41.474494', 'longitude': '-75.683156', 'human_address': '{""address"": ""104 Shady Lane Road"", ""city"": ""Chinchilla"", ""state"": ""PA"", ""zip"": ""18410""}'}","{'type': 'Point', 'coordinates': [-75.6864133, 41.4735805]}",41.4735805,-75.6864133,Yes,Active,34,22,7,325,13,101,(570)586-2111,M-F 8am-4pm,Operational,Chief Gerrity
504,Lower Salford Township Police Dept.,379 Main Street,Harleysville,PA,19438,Montgomery,"{'latitude': '40.275352', 'longitude': '-75.380843', 'human_address': '{""address"": ""379 Main Street"", ""city"": ""Harleysville"", ""state"": ""PA"", ""zip"": ""19438""}'}","{'type': 'Point', 'coordinates': [-75.380148, 40.275436]}",40.275436,-75.380148,Yes,Active,37,57,8,1076,429,58,(610)256-9500,,Operational,Sgt. Cory Moyer
505,CareSite Pharmacy - GWV,1000 East Mountain Drive,Wilkes-Barre,PA,18711,Luzerne,"{'latitude': '41.256632', 'longitude': '-75.812007', 'human_address': '{""address"": ""1000 East Mountain Drive"", ""city"": ""Wilkes-Barre"", ""state"": ""PA"", ""zip"": ""18711""}'}","{'type': 'Point', 'coordinates': [-75.807252, 41.255167]}",41.255167,-75.807252,No,Active,30,14,7,1428,453,102,570-808-7969,Monday - Friday: 9 a.m. – 6 p.m. / Saturday: 9 a.m. – 1 p.m.,Pharmacy,
506,Saint Francis University Police Department,2299 Manor Drive,Loretto,PA,15940,Cambria,"{'latitude': '40.508816', 'longitude': '-78.637824', 'human_address': '{""address"": ""2299 Manor Drive"", ""city"": ""Loretto"", ""state"": ""PA"", ""zip"": ""15940""}'}","{'type': 'Point', 'coordinates': [-78.637901, 40.508564]}",40.508564,-78.637901,No,Active,16,2,3,2506,342,20,,,,
507,Ferndale Borough Police Department,109 Station Street,Johnstown,PA,15905,Cambria,"{'latitude': '40.289362', 'longitude': '-78.914996', 'human_address': '{""address"": ""109 Station Street"", ""city"": ""Johnstown"", ""state"": ""PA"", ""zip"": ""15905""}'}","{'type': 'Point', 'coordinates': [-78.9144, 40.289188]}",40.289188,-78.9144,No,Active,16,2,13,2530,184,21,,,,
508,DuBois City Police Department,16 West Scribner Avenue,DuBois,PA,15801,Clearfield,"{'latitude': '41.11955', 'longitude': '-78.761527', 'human_address': '{""address"": ""16 West Scribner Avenue"", ""city"": ""DuBois"", ""state"": ""PA"", ""zip"": ""15801""}'}","{'type': 'Point', 'coordinates': [-78.761174, 41.119796]}",41.119796,-78.761174,No,Active,14,8,3,644,188,15,814-371-2326,,Operational,
509,CVS #3062,3192 ROUTE 115,EFFORT,PA,18330,"MONROE,PA","{'latitude': '40.977643', 'longitude': '-75.445584', 'human_address': '{""address"": ""3192 ROUTE 115"", ""city"": ""EFFORT"", ""state"": ""PA"", ""zip"": ""18330""}'}","{'type': 'Point', 'coordinates': [-75.44476, 40.977418]}",40.977418,-75.44476,No,Active,38,56,7,915,360,121,5706882302,Follows Pharmacy Hours of Operation,Pharmacy,
510,"RANN PHARMACY, INC.",377 MAIN ST,HARLEYSVILLE,PA,19438,Montgomery,"{'latitude': '40.275234', 'longitude': '-75.380672', 'human_address': '{""address"": ""377 MAIN ST"", ""city"": ""HARLEYSVILLE"", ""state"": ""PA"", ""zip"": ""19438""}'}","{'type': 'Point', 'coordinates': [-75.380066, 40.275423]}",40.275423,-75.380066,No,Active,37,57,8,1076,429,58,,,Pharmacy,
511,West Pottsgrove Township Police Dept.,980 Grosstown Road,Stowe,PA,19464,Montgomery,"{'latitude': '40.260667', 'longitude': '-75.675908', 'human_address': '{""address"": ""980 Grosstown Road"", ""city"": ""Stowe"", ""state"": ""PA"", ""zip"": ""19464""}'}","{'type': 'Point', 'coordinates': [-75.674576, 40.260428]}",40.260428,-75.674576,Yes,Active,37,57,8,1117,302,58,(610)323-2090,unknown,ordered 4-26-16,Chief Matthew Stofflet
512,Montgomery County Courthouse – both public entrances,Swede & Airy Sts.,Norristown,PA,19403,Montgomery,,"{'type': 'Point', 'coordinates': [-75.343649, 40.1160765]}",40.1160765,-75.343649,No,Active,,,8,,,,(610)278-3000,M-F 8:30-4:15,Operational,Court Administrator Michael Kehs
513,Walgreens Pharmacy (Philadelphia - S Broad St),2014 S BROAD ST,Philadelphia,PA,19145,Philadelphia,"{'latitude': '39.924459', 'longitude': '-75.169687', 'human_address': '{""address"": ""2014 S BROAD ST"", ""city"": ""Philadelphia"", ""state"": ""PA"", ""zip"": ""19145""}'}","{'type': 'Point', 'coordinates': [-75.170179, 39.924799]}",39.924799,-75.170179,No,Active,47,13,18,1069,365,199,(215) 551-3818,,Pharmacy,
514,Kane Borough Police Dept.,112 Bayard Street,Kane,PA,16735,McKean,"{'latitude': '41.661195', 'longitude': '-78.809443', 'human_address': '{""address"": ""112 Bayard Street"", ""city"": ""Kane"", ""state"": ""PA"", ""zip"": ""16735""}'}","{'type': 'Point', 'coordinates': [-78.809413, 41.661171]}",41.661171,-78.809413,Yes,Active,14,47,3,1040,84,14,(814)837-6440,,,Chief Heath Boyer
515,Muhlenberg Twp. Police Department,5401 Leesport Avenue,Temple,PA,19560,Berks,"{'latitude': '40.415639', 'longitude': '-75.924995', 'human_address': '{""address"": ""5401 Leesport Avenue"", ""city"": ""Temple"", ""state"": ""PA"", ""zip"": ""19560""}'}","{'type': 'Point', 'coordinates': [-75.9236851, 40.400815]}",40.400815,-75.9236851,Yes,Active,31,45,1,950,278,150,(610)929-5454,Monday to Friday 8am – 4:30pm,Operational,Chief Robert Flanagan
516,SHARON PHARMACY,"63 PITT STREET, SUITE 102",SHARON,PA,16146,Mercer,"{'latitude': '41.23373', 'longitude': '-80.507917', 'human_address': '{""address"": ""63 PITT STREET, SUITE 102"", ""city"": ""SHARON"", ""state"": ""PA"", ""zip"": ""16146""}'}","{'type': 'Point', 'coordinates': [-80.50793, 41.233938]}",41.233938,-80.50793,No,Active,3,54,11,972,355,26,,,Pharmacy,
517,Tinicum Township Police Department,235 Putcan Ave.,Essington,PA,19029,Delaware,"{'latitude': '39.862597', 'longitude': '-75.293066', 'human_address': '{""address"": ""235 Putcan Ave."", ""city"": ""Essington"", ""state"": ""PA"", ""zip"": ""19029""}'}","{'type': 'Point', 'coordinates': [-75.29335, 39.862832]}",39.862832,-75.29335,No,Active,39,28,18,2159,271,67,(610)521-3830,M-F 8-4,Operational,
518,Hatboro Police Dept.,414 South York Road,Hatboro,PA,19040,Montgomery,"{'latitude': '40.170946', 'longitude': '-75.110331', 'human_address': '{""address"": ""414 South York Road"", ""city"": ""Hatboro"", ""state"": ""PA"", ""zip"": ""19040""}'}","{'type': 'Point', 'coordinates': [-75.111234, 40.171039]}",40.171039,-75.111234,Yes,Active,42,57,8,2243,257,172,(215)675-4400,unknown,ordered 4-26-16,Chief James E. Gardner
519,West Manchester Towship Police Dept.,380 East Berlin Road,York,PA,17408,York,"{'latitude': '39.951805', 'longitude': '-76.780928', 'human_address': '{""address"": ""380 East Berlin Road"", ""city"": ""York"", ""state"": ""PA"", ""zip"": ""17408""}'}","{'type': 'Point', 'coordinates': [-76.784402, 39.951592]}",39.951592,-76.784402,No,Active,24,12,16,8,407,135,(717) 792-6514,M-F 8-430 and by appt afterwards,Operational,Detective Jeffrey Snell
520,Huntingdon Borough Police Dept.,530 Washington St.,Huntingdon,PA,16652,Huntingdon,"{'latitude': '40.485918', 'longitude': '-78.012923', 'human_address': '{""address"": ""530 Washington St."", ""city"": ""Huntingdon"", ""state"": ""PA"", ""zip"": ""16652""}'}","{'type': 'Point', 'coordinates': [-78.0122179, 40.4857066]}",40.4857066,-78.0122179,No,Active,18,38,13,502,264,32,(814)643-3960,Monday-Friday 8:30 to 4:30,Operational,Chief Brenneman
521,Penn College Police Dept.,200 College Avenue,Williamsport,PA,17701,Lycoming,"{'latitude': '41.233549', 'longitude': '-77.023291', 'human_address': '{""address"": ""200 College Avenue"", ""city"": ""Williamsport"", ""state"": ""PA"", ""zip"": ""17701""}'}","{'type': 'Point', 'coordinates': [-77.022798, 41.235139]}",41.235139,-77.022798,Yes,Active,21,15,2,1903,441,76,(570)321-5555,M-F 8am-4:30pm,,Chief Chris Miller
522,Northwest Regional Police Dept.,155 Merts Drive,Elizabethtown,PA,17022,Lancaster,"{'latitude': '40.144774', 'longitude': '-76.559732', 'human_address': '{""address"": ""155 Merts Drive"", ""city"": ""Elizabethtown"", ""state"": ""PA"", ""zip"": ""17022""}'}","{'type': 'Point', 'coordinates': [-76.5597385, 40.1447857]}",40.1447857,-76.5597385,Yes,Active,26,23,15,355,33,131,(717)367-8481,M-F 8am-6pm,Operational,Chief Mark Mayberry
523,Walter's Pharmacy,401 N 17th Street,Allentown,PA,18104,Lehigh,"{'latitude': '40.602276', 'longitude': '-75.494914', 'human_address': '{""address"": ""401 N 17th Street"", ""city"": ""Allentown"", ""state"": ""PA"", ""zip"": ""18104""}'}","{'type': 'Point', 'coordinates': [-75.494753, 40.602749]}",40.602749,-75.494753,No,Active,36,26,12,455,99,112,610-435-4706,Open 9-9 weekdays and 9-5 Saturday,Operational,Howard Anthony RPh-owner
524,CareSite Pharmacy Lewistown,21 Geisinger Lane,Lewistown,PA,17044,Mifflin,"{'latitude': '40.601756', 'longitude': '-77.55722', 'human_address': '{""address"": ""21 Geisinger Lane"", ""city"": ""Lewistown"", ""state"": ""PA"", ""zip"": ""17044""}'}","{'type': 'Point', 'coordinates': [-77.557618, 40.60148]}",40.60148,-77.557618,No,Active,18,55,2,676,295,36,717-242-4264,Monday - Thursday: 8:30 a.m. – 6 p.m./Friday: 8:30 a.m. – 5 p.m. /Saturday: 9 a.m. – noon,Pharmacy,
525,Ridley Township Police Department,100 E. MacDade Blvd,Folsom,PA,19033,Delaware,"{'latitude': '39.886806', 'longitude': '-75.330266', 'human_address': '{""address"": ""100 E. MacDade Blvd"", ""city"": ""Folsom"", ""state"": ""PA"", ""zip"": ""19033""}'}","{'type': 'Point', 'coordinates': [-75.3293279, 39.8862899]}",39.8862899,-75.3293279,No,Active,39,28,18,2304,408,66,(610)532-4000,24 hours a day/ 7 days a week,Operational,
